term	definition
to become less intense or widespread	abate
The storm began to weaken after several hours of heavy rain.	The storm began to abate after several hours of heavy rain.
existing in thought or as an idea but not having a physical or concrete existence	abstract
Her paintings were non-representational, built from shapes and colors.	Her paintings were abstract, built from shapes and colors.
very bad	abysmal
The team's performance was terrible in last night's game.	The team's performance was abysmal in last night's game.
in a way that fits the facts; as a natural or logical result; therefore	accordingly
She studied hard and, as a result, did well on the exam.	She studied hard and, accordingly, did well on the exam.
the process of gaining possession of something	acquisition
The company announced the purchase of a smaller firm.	The company announced the acquisition of a smaller firm.
to make (something) suitable for a new use or purpose; modify	adapt
We need to adjust our plan to fit the new schedule.	We need to adapt our plan to fit the new schedule.
having skill in a particular area	adept
He is skilled at solving complex math problems.	He is adept at solving complex math problems.
satisfactory or acceptable in quality or quantity	adequate
The supply of food was sufficient for the camping trip.	The supply of food was adequate for the camping trip.
the arrival of a notable person or thing	advent
The arrival of smartphones has changed how we communicate.	The advent of smartphones has changed how we communicate.
involving or characterized by conflict or opposition	adversarial
The relationship between the two companies was hostile.	The relationship between the two companies was adversarial.
according to what he wanted	at his behest
The investigation was launched on his orders.	The investigation was launched at his behest.
a person who publicly supports or recommends a particular cause or policy	advocate
She is a supporter of environmental protection.	She is an advocate for environmental protection.
concerned with beauty or the appreciation of beauty	aesthetic
The garden has a pleasing appearance.	The garden has a pleasing aesthetic.
to arouse public concern and prompt action	to agitate
The activists tried to stir public feeling in favor of stricter rent controls.	The activists tried to agitate for stricter rent controls.
have enough money to pay for	afford
I can't pay for a new car right now.	I can't afford a new car right now.
let (someone) have or do something	allow
The teacher will give extra time for the test.	The teacher will allow extra time for the test.
suggest or call attention to indirectly; hint at	allude
He hinted at his past without giving details.	He alluded to his past without giving details.
a noisy argument or disagreement, especially in public	altercation
The two men had a noisy argument outside the store.	The two men had an altercation outside the store.
open to more than one interpretation; not having one obvious meaning	ambiguous
The ending of the movie was unclear.	The ending of the movie was ambiguous.
having or showing a strong desire and determination to succeed	ambitious
She is very driven and works hard.	She is very ambitious and works hard.
the state of having mixed feelings or contradictory ideas about something or someone	ambivalence
Moving to a new city left him with mixed, conflicting feelings.	Moving to a new city left him with ambivalence.
comparable in certain respects, typically in a way that makes clearer the nature of the things compared	analogous
The human brain is comparable to a computer.	The human brain is analogous to a computer.
destroy utterly; obliterate	annihilate
The bomb could destroy the entire city.	The bomb could annihilate the entire city.
something that deviates from what is standard, normal, or expected	anomaly
The test results showed something unusual.	The test results showed an anomaly.
pleasant and agreeable in character; friendly and suited to one's company	congenial
The other people at the table were warm and easy to talk to.	The other people at the table were congenial.
skill in achieving one's ends by deceit or evasive cleverness	cunning
The thief relied on clever tricks rather than on force.	The thief relied on cunning rather than on force.
deceitfulness in speech or conduct; double-dealing	duplicity
His polite apology did not erase his history of lying to us.	His polite apology did not erase his duplicity.
a person or thing regarded as a perfect example of a quality	paragon
Among the interns, she was the clearest example of professionalism.	Among the interns, she was a paragon of professionalism.
betrayal of trust; treacherous action	treachery
The king saw the secret alliance as a stab in the back.	The king saw the secret alliance as treachery.
Wry joke about showing off modern tech or skill in the distant past	If you went back 1000 years and did this, you'd either start a religion or be burned alive.
Most people have no idea how to do stuff like this	If you went back 1000 years and did this, you'd either start a religion or be burned alive.
when something is spot on; exactly right or perfectly timed (informal)	bullseye moment
His reply was dead-on and named the problem nobody else dared to voice.	His reply was a bullseye moment and named the problem nobody else dared to voice.
a really long time ago (informal, nostalgic)	many moons ago
She learned to drive a very long time ago.	Many moons ago, she learned to drive.
a new era of; renewed interest in (formal or literary)	a renaissance of
Independent bookstores are enjoying renewed excitement from young readers.	Independent bookstores are enjoying a renaissance of interest from young readers.
questioning whether you can trust what you see (idiom)	Do my eyes deceive me?
She looked at the scoreboard and wondered if her eyes were playing tricks on her.	"She looked at the scoreboard and whispered, ""Do my eyes deceive me?"""
showing excessive enthusiasm or fervor	overzealous
The volunteers were too gung-ho about flagging every tiny paperwork error.	The volunteers were overzealous about flagging every tiny paperwork error.
ready to accept control or instruction; submissive and easy to manage	docile
When the volunteers clipped on the lead rope, the rescue horse offered no resistance.	When the volunteers clipped on the lead rope, the rescue horse was docile.
(of a victory) won at such a cost that it is hardly worth winning	pyrrhic
The settlement looked like a win on paper, but the fees had swallowed the upside.	The settlement was a pyrrhic victory—the fees had swallowed the upside.
dealing with things sensibly and realistically; practical rather than idealistic	pragmatic
Her answer was practical, blunt, and grounded in what the team could ship.	Her answer was pragmatic, blunt, and grounded in what the team could ship.
not everything attractive is truly valuable (proverb)	All that glitters is not gold.
The merch table glittered with hype, yet the album was unfinished, which showed that shine is not the same as substance.	The merch table glittered with hype, yet the album was unfinished—all that glitters is not gold.
when you win, your critics serve you (brag)	All my haters become my waiters when I sit down at the table of success.
He said that once he won, his critics would be waiting on him.	"He said, ""All my haters become my waiters when I sit down at the table of success."""
warm and friendly; sincere (especially of a welcome, manner, or relations)	cordial
The two leaders exchanged a polite, friendly greeting.	The two leaders exchanged a cordial greeting.
comically or repulsively ugly, distorted, or wrong (often shockingly so)	grotesque
The mask looked disturbingly warped in the lamplight.	The mask looked grotesque in the lamplight.
evoking a keen sense of sadness, regret, or other deep, affecting feeling	poignant
The old photograph was deeply moving in a quiet way.	The old photograph was poignant.
so lacking in freshness or novelty as to be obvious, dull, and boring	banal
His closing argument was a tired cliché everyone had heard before.	His closing argument was banal.
showy, confident, and striking in style or manner	flamboyant
The pianist's stage outfits were loud and hard to miss.	The pianist's stage outfits were flamboyant.
extreme greed for wealth or material gain	avarice
His love of money seemed to have no limit.	His avarice seemed to have no limit.
the feeling that someone or something is unworthy of respect; contempt; scorn	disdain
She looked at the bribe with open contempt.	She looked at the bribe with disdain.
hesitating to trust; of doubtful value, veracity, or quality; suspect	dubious
The witness's alibi seemed unreliable on its face.	The witness's alibi seemed dubious on its face.
to arrest (someone, especially a criminal suspect) for a crime; to take into custody	to apprehend
The police finally caught the fugitive on the border.	The police finally apprehended the fugitive on the border.
occurring or discovered by a fortunate accident; opportune and unplanned	serendipitous
Their partnership started from a lucky chance meeting in an airport line.	Their partnership started from a serendipitous meeting in an airport line.
having or showing great learning; deeply educated (often in literature or a narrow field)	erudite
The critic's reviews were dense with bookish references and learning.	The critic's reviews were erudite.
courteous, refined, and at ease; polished in manner (suggesting sophistication)	urbane
